"","psraid","sample","state","cregion","usr","intuse","pialql1","smart3","pial1a","pial1b","pial1c","pial1d","pial1e","pial1f","pial1g","pial1h","pial1i","pial1j","pial1k","pial2","pial3a","pial3b","pial3c","pial3d","pial3e","pial3f","pial3g","pial3h","pial3i","pial4","pial5","pial6a","pial6b","pial6c","pial7a","pial7b","pial7c","pial7d","pial7e","pial7f","pial7g","pial7h","pial7i","pial7j","pial7k","pial8a","pial8b","pial8c","pial8d","pial8e","pial8f","pial8g","pial8h","pial8i","pial8j","pial8k","act87","act112","pial9a","pial9b","pial9c","pial9d","pial9e","pial9f","pial9g","pial9h","pial9i","pial9j","pial10","pial11a","pial11b","pial11c","pial11d","pial11e","pial11f","pial11g","pial11h","pial12","pial13","ql1a","qc1","hh1","employ","par","sex","age","marital","educ2","hisp","race","inc","income","reg","party","partyln","ideo","tp","weight","standwt"
"100",100689,1,6,4,"U",1,1,2,1,2,8,2,2,1,2,2,2,2,2,1,3,2,3,1,3,1,3,1,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,3,2,2,83,1,6,2,1,7,4,1,1,NA,3,3,1.62068965517241,0.484551587088049
"101",100697,1,34,1,"S",1,1,2,1,1,1,1,3,2,2,2,2,8,1,1,1,3,1,3,2,3,3,1,5,9,2,1,2,2,2,2,2,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,NA,NA,3,3,2,2,72,1,2,2,1,4,2,1,3,9,2,1,4.37931034482759,1.30932024596132
"103",100716,1,24,3,"S",1,1,1,8,8,2,1,1,8,8,1,2,8,1,2,3,2,3,3,3,3,3,2,3,1,2,1,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,1,8,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,2,2,1,1,2,2,NA,NA,3,1,1,2,23,6,5,2,2,5,2,1,2,NA,2,2,6,1.79387183304937
"104",100718,1,51,3,"S",1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,1,NA,NA,2,1,2,1,43,1,6,2,1,8,4,3,3,9,3,2,2.93103448275862,0.876316700052855
"105",100721,1,6,4,"U",1,1,1,1,2,3,8,1,1,1,1,2,1,1,2,3,3,2,3,2,3,2,2,3,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,NA,NA,1,1,2,2,62,6,8,2,1,6,3,1,1,NA,1,1,1,0.298978638841562
"106",100739,1,26,2,"S",1,2,NA,8,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,2,2,2,NA,2,3,2,2,60,1,5,2,1,1,1,1,1,NA,2,3,2.82758620689655,0.845387875345107
"108",100744,1,6,4,"S",1,2,NA,8,2,2,2,2,2,1,1,2,2,2,1,3,3,3,3,3,2,2,3,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,NA,4,3,2,2,19,6,3,1,4,3,1,3,3,9,4,3,8,2.3918291107325
"109",100759,1,18,2,"S",1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,2,1,NA,NA,1,3,2,1,67,3,7,2,1,6,3,1,3,1,3,1,1,0.298978638841562
"110",100764,1,36,1,"R",1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,1,NA,NA,1,2,2,1,63,3,8,2,1,8,4,1,5,9,2,1,1,0.298978638841562
"111",100771,1,12,3,"R",1,2,NA,8,2,2,2,2,2,8,8,2,8,2,2,1,1,1,3,1,1,1,2,5,2,2,2,2,2,2,2,2,1,2,2,2,2,8,2,2,2,2,2,2,2,2,2,3,2,2,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,8,2,2,2,2,2,2,8,8,2,NA,1,3,2,2,77,5,4,2,1,5,2,1,2,NA,3,2,1.41379310344828,0.422693937672554
